number,school
8606,AFNA National Educational Research Fund
2004,Albright College
2006,Allegheny College
3190,Allied Medical and Technical Careers
2431,Alvernia University
971,Antonelli Institute of Art and Photography
2039,Arcadia University
6141,Argosy University Online Programs
2247,Aria Health School of Nursing
2033,Art Institute of Philadelphia
2029,Art Institute of Pittsburgh
1548,Art Institute of York Pennsylvania
3835,Art Institute Online
2438,Baker College
3198,Berks Technical Institut
3199,Bidwell Training Center
2646,Bloomsburg University  of Pennsylvania
2206,Bradford School  Pittsburgh
2002,Bryn Athyn College
2049,Bryn Mawr College
2050,Bucknell University
2066,Bucks County  Community College
2069,Butler County  Community College
1885,Buxmont Christian  Education Institute
2071,Cabrini University
2661,Cairn University
2647,California University  of Pennsylvania
2210,Cambria-Rowe  Business College
3274,Cambria-Rowe Busines  College Indiana
3207,Career Training  Academy Monroeville
3205,Career Training Acade  New Kensington
2421,Carlow University
2074,Carnegie Mellon  University
2079,Cedar Crest College
1061,Central Pennsylvania  College
2081,Chatham University
2082,Chestnut Hill College
2648,Cheyney University  of Pennsylvania
3398,Chi Institute Broomall
3386,Chi Institute  Franklin Mills
2132,Citizens School  of Nursing
4221,Cittone Institute  Northeast Campus
4612,City Year Greater  Philadelphia
2649,Clarion University  of Pennsylvania
2036,Clarks Summit Universi  Pennsylvania
2156,Community College  of Allegheny County  Allegheny
2122,Community College  of Allegheny County  Monroeville
2025,Community College  of Allegheny County  North Campus
2123,Community College of  Allegheny County Sout  Campus West Mifflin
2126,Community College  of Beaver County
2682,Community College  of Philadelphia
2128,Conemaugh Valley  Memorial Hospital
2240,Consolidated School of  Business Lancaster
2242,Consolidated School  of Business York
2100,Curtis Institute of Musi
2199,Dean Institute of  Technology
2125,Delaware County  Community College
2510,Delaware Valley  University
2021,DeSales University
3866,DeVry University
2186,Dickinson College
3288,Douglas Education  Center
2194,Drexel University
3886,DuBois Business Colleg
3290,DuBois Business College Huntingdon
3292,DuBois Business College Oil City
2196,Duquesne University
2650,East Stroudsburg University of Pennsylvania
2220,Eastern University
2651,Edinboro University
116,Educational Opportunity Centers Incorporated
2225,Elizabethtown College
2284,Erie Institute of Technology
2261,Franklin and Marshall College
2270,Gannon University
2273,Geneva College
2275,Gettysburg College
2280,Gratz College
2277,Grove City College
2278,Gwynedd Mercy University
2287,Harcum College
2309,Harrisburg Area Community College
4511,Harrisburg University of Science & Tech
2289,Haverford College
2297,Holy Family University
7309,"Hussian College, School of Art"
7313,ICS Center Degree Studies
2320,Immaculata University
2652,Indiana University of Pennsylvania
2349,Indiana University of Pennsylvania Academy of Culinary Arts
2337,Jameson Memorial Hospital School of Nursing
7923,Jefferson College of Graduate Studies
3049,NJA Institute of Culinary Arts
1542,Johnson College
2693,Joseph F. McCloskey School of Nursing
2341,Juniata College
3823,Kaplan Career Institute ICM Campus
2351,Keystone College
3188,Keystone Tech Inst
2353,Kings College
2653,Kutztown University of Pennsylvania
2379,La Roche College
2363,La Salle University
2373,Lackawanna College
2361,Lafayette College
7334,Lake Erie College of Osteopathic Medicine
2388,Lancaster Bible College
5853,Lansdale School Business
2329,Laurel Business Institute
2466,Laurel Technical Institute
2364,Lebanon Valley College
2381,Lehigh Carbon Community College
2365,Lehigh University
9010,Lincoln Technical Institute Philadelphia
2741,Lincoln Technical Institute Allentown
2367,Lincoln University of the Commonwealth of Pennsylvania
2654,Lock Haven University of Pennsylvania
2382,Luzerne County Community College
2372,Lycoming College
2260,Manor College
2655,Mansfield University  of Pennsylvania
6725,Marine Corps  Officer Programs
2407,Marywood University
3887,McCann School  of Business and  Technology Mahanoy
7392,McCann School of  Business and Technology
3296,McCann School  of Business and  Technology Pottsville
3298,McCann School  of Business and  Technology Sunbury
2447,Mercy School Nursing
2410,Mercyhurst University
2411,Messiah College
2939,Mestern School of  Health and Business  Careers Monroeville
2458,Methodist Hospital  School of Nursing
3065,Metropolitan Career  Center Computer  Tech Institute
2656,Millersville University  of Pennsylvania
2087,Misericordia University
2445,Montgomery County  Community College
2417,Moore College of  Art and Design
2418,Moravian College
2420,Mount Aloysius College
2424,Muhlenberg College
2402,National Education  Center Harrisburg
7287,Navy Recruiting  District Pittsburgh
9381,Navy Recruiting  District Philadelphia
2628,Neumann University
2404,New Castle School  of Trades
2413,Newport Business  Institute
2573,Northampton County  Area Community College
2576,Northeastern Hospital  School of Nursing
2624,Ohio Valley General  Hospital School  of Nursing
3127,Orleans Tech Institute  Center City
2674,Peirce College
2639,Penn View Bible Institute
380,Pennco Tech
3038,Pennsylvania Academy  of Fine Arts
2681,Pennsylvania College  Art and Design
2374,Pennsylvania College  of Health Sciences
2645,Pennsylvania College  of Optometry
2989,Pennsylvania College  of Technology
2484,Pennsylvania Highlands  Community College
3214,Pennsylvania Instititute  of Health & Technology
2675,Pennsylvania Institute  of Technology
2660,Pennsylvania State  University
2666,Philadelphia University
652,Pittsburgh Institute  of Aeronautics
7030,Pittsburgh Institute  of Mortuary Science
382,Pittsburgh Technical  College
2676,Point Park University
2887,Prism Career Institute
2743,Reading Area  Community College
4444,Reading Hospital &  Medical Center
2772,Reading Hospital School  of Health Sciences
4883,Restaurant School at  Walnut Hill College
2769,Robert Morris University
3025,Rosedale Technical  Institute
2763,Rosemont College
2473,Roxborough  Memorial Hospital
2794,"Saint Charles Borromeo  Seminary, Overbrook"
2797,Saint Francis University
2801,Saint Joseph’s University
2852,Saint Luke’s Hospital  School of Nursing
2882,Saint Margaret  School of Nursing
2808,Saint Vincent College
2812,Seton Hill University
2657,Shippensburg University  of Pennsylvania
2658,Slippery Rock University  of Pennsylvania
2467,South Hills  Business School
2176,South Hills School of  Business and Technology
4664,South University
2820,Susquehanna University
2821,Swarthmore College
1037,Talmudical Yeshiva  Philadelphia
2906,Temple University
560,Thaddeus Stevens  State School of Tech
2910,Thiel College
2903,Thomas Jefferson  University Jefferson  College of Health  Professions
3212,Thompson Institute  Harrisburg
3213,Thompson Institute  Philadelphia
2502,Tri-State Business  Institute
7133,Triangle Tech Dubois
658,Triangle Tech  Greensburg School
734,Triangle Tech Pittsburgh
1572,Triangle Technical  Erie School
2986,University of  Pennsylvania  College Liberal/  Professional Studies
2944,University of  Pennsylvania School  of Dental Medicine
2926,University of Pennsylvania  Undergraduate Admission
2935,University of  Pittsburgh Bradford
2936,University of Pittsburgh  Greensburg
2934,University of Pittsburgh  Johnstown
2927,University of Pittsburgh
2580,University of Pittsburgh  School of Dental Medicine
2937,University of  Pittsburgh Titusville
2929,University of Scranton
2664,University of the Arts
2663,University of the Sciences
2579,University of Valley Forge
2836,UPMC Shadyside  School of Nursing
2931,Ursinus College
7911,USMC Officer Selection  Station Philadelphia
2955,Valley Forge  Military College
7134,Vet Tech Institute
2959,Villanova University
2967,Washington and Jefferson College
2973,Washington Hospital School of Nursing
2969,Waynesburg University
2531,Welder Training and Testing Institute
2659,West Chester University of Pennsylvania
2983,Western Pennsylvania Hospital School of Nursing
2933,Western School of Health and Business Careers
2975,Westminster College Pennsylvania
2968,Westmoreland County Community College
2642,Widener University
2977,Wilkes University
765,Williamson Free School Mechanical Trade
2979,Wilson College
1657,Yeshivath Beth Moshe
2991,York College of Pennsylvania
5689,York Learning Center Freedom Academy
2943,York Technical Institute
2553,Yorktowne Business Institute Rhode Island
3094,Brown University
3095,Bryant University
3733,Community College of Rhode Island
8010,Community College of Rhode Island Educ Talent
3465,Johnson and Wales University
6229,Mater Ecclesiae College
7690,Naval Academy Preparatory School
339,New England Institute of Technology Rhode Island
3693,Providence College
3724,Rhode Island College
3726,Rhode Island School of Design
3729,Roger Williams University
3759,Salve Regina University
3797,St. Joseph School of Nursing
4143,United States Marine Corps Officer Selection Program
3919,University of Rhode Island South Carolina
5037,Aiken Technical College
5006,Allen University
4287,American College of the Building Arts
5008,Anderson University
7041,Anmed Health Radiologic Technology Program
5583,Art Institute of Charleston
5056,Benedict College
5065,Bob Jones University
5665,Central Carolina Technical College
5079,Charleston Southern University
5109,Claflin University
5111,Clemson University
5743,Clinton Junior College
5837,Coastal Carolina University
5112,Coker College
5113,College of Charleston
5117,Columbia College South Carolina
5116,Columbia International  University
5121,Converse College
5744,Denmark Technical  College
5188,Erskine College
5207,Florence-Darlington  Technical College
7138,Forrest Junior College
5442,Francis Marion Universi
5222,Furman University
7019,Geneva Reformed  Seminary
3223,Golf Academy of  the Carolinas
6073,Governors School for  Science and Math
5278,Greenville Technical  College
6514,Holmes Bible College
5305,Horry-Georgetown  Technical College
5363,Lander University
5366,Limestone College
7926,McLeod School of  Medical Technology
5584,Midlands Technical  College
5418,Morris College
9368,Navy Recruiting  District Columbia
5777,Navy Nuclear Power  Training Command
5493,Newberry College
5498,North Greenville  University
5095,Northeastern  Technical College
5527,Orangeburg-Calhoun  Technical College
5550,Piedmont Technical  College
5540,Presbyterian College
5618,South Carolina  State University
5097,South University  Columbia Campus
5663,Southern Methodist  College
5896,Southern Wesleyan  University
5668,Spartanburg  Community College
5627,Spartanburg  Methodist College
8996,Tech College Low Coun
5047,Technical College of  the Lowcountry
5108,The Citadel
5646,Three Rivers  Midlands Campus
5789,Tri-County Technical  College
5049,Trident Technical  College North
5840,University of South  Carolina Aiken
5845,University of South  Carolina Beaufort
5818,University of South  Carolina Columbia
5849,University of South  Carolina Lancaster
5847,University of South  Carolina Salkehatchie
5821,University of South  Carolina Sumter
5846,University of South  Carolina Union
5850,University of South  Carolina Upstate
5863,Voorhees College
5892,Williamsburg  Tech College
5910,Winthrop University
5912,Wofford College
5989,York Technical College
6015,Augustana University
6042,Black Hills State University
6279,Cheyenne River College Center
6247,Dakota State University
6155,Dakota Wesleyan University
6149,Kilian Community College
717,Lake Area Technical Institute
7038,Mitchell Technical Institute
6416,Mount Marty College
6464,National American University
6487,Northern State University
1430,Oglala Lakota College
6582,Presentation College
7328,Sinte Gleska University
3403,Sisseton-Wahpeton College
6652,South Dakota School of Mines and Tech
6653,South Dakota State University
7054,Southeast Technical Institute
6651,University of Sioux Falls
6881,University of South Dakota Vermillion
6393,Western Dakota Technical Institute Tennessee
2401,American Baptist College
7318,Aquinas College TN
5685,Argosy University
7291,Art Institute of Tennessee Nashville
1028,Austin Peay State University
6548,Baptist College of Health Sciences
1058,Belmont University
1063,Bethel University
1908,Bryan College
1102,Carson-Newman University
2267,Chattanooga College
1084,Chattanooga State Technical Community College
1121,Christian Brothers University
1104,Clarksville Baptist College
2848,Cleveland State Community College
1081,Columbia State Community College
2385,Crown College TN
1146,Cumberland University
3225,Draughons Junior College Clarksville
7325,Draughons Junior College Nashville
7323,Dyersburg State Community College
1198,East Tennessee State University
1224,Fisk University
446,Fountainhead College of Technology
1230,Freed-Hardeman University
1298,Hiwassee College
3945,Huntington College Health Sciences
2266,Jackson State Community College
539,John A. Gupton College
1345,Johnson University
1371,King College
1373,Knoxville College
1395,Lane College
1401,Lee University
1403,Lemoyne-Owen College
1408,Lincoln Memorial  University
1161,Lipscomb University
1449,Martin Methodist College
1454,Maryville College
1458,Meharry Medical College
1511,Memphis College of Art
7039,Mid-America Baptist  Theological Seminary
3944,Middle Tennessee  School of Anesthesia
1466,Middle Tennessee  State University
3228,Miller-Motte  Technical College
1469,Milligan College
1543,Motlow State  Community College
3098,Nashville Auto-Diesel  College
850,Nashville State  Community College
3247,National College
3227,National College of  Business and Technology
9370,Navy Recruiting  District Memphis
9373,Navy Recruiting  District Nashville
6294,New College Franklin
453,Northeast State  Community College
3118,Nossi College of Art
1545,Omore College of Design
319,Pellissippi State  Technical and  Community College
3159,Remington College  Memphis Campus
1730,Rhodes College
1656,Roane State  Community College
9956,Sanofi-Synthelabo  Scholarship Program
711,South College
1727,Southern Adventist  University
1725,Southern College  Optometry
274,Southwest Tennessee  Community College
1803,Tennessee State  University
1804,Tennessee Technological  University
1805,Tennessee Wesleyan  College
1809,Trevecca Nazarene  University
1812,Tusculum College
1826,Union University
1459,University of Memphis
1831,University of Tennessee  at Chattanooga
1843,University of  Tennessee Knoxville
1844,University of  Tennessee Martin
1842,University of the South
1871,Vanderbilt University
5450,Visible Music College
1881,Volunteer State  Community College
1893,Walters State  Community College
4927,Watkins College of  Art and Design
1232,Welch College
7388,Williamson College Texas
6001,Abilene Christian  University
6005,Alvin Community College
6006,Amarillo College
6140,Amberton University
6025,Angelina College
6644,Angelo State University
6039,Arlington Baptist College
5980,Art Institute of  Austin the
2680,Art Institute of Dallas
6602,Art Institute of  Fort Worth
8271,Art Institute of Houston
7043,Art Institute of  San Antonio
6016,Austin College
6759,Austin Community  College Texas
4969,Austin Graduate  School of Theology
4243,Baptist Health System  School Medicine  Imaging Tech
1789,Baptist Hospital South  East Texas School of  Radiologic Tech
7042,Baptist Missionary  Association  Theological Seminar
7685,Baptist University  of the Americas
6059,Baylor College  of Dentistry
6032,Baylor University
6043,Blinn College
6054,Brazosport College
6070,Brookhaven College
6148,Cedar Valley College
6130,Central Texas College
6586,Chamberlain College  of Nursing
6714,Chamberlain College  of Nursing Irving
7426,Chamberlain College  of Nursing Pearland
6096,Cisco College
6097,Clarendon College
6055,Coastal Bend College
7052,College at Southwestern
3946,College of Biblical  Studies Houston
6133,College of the Mainland
1951,Collin County  Community College
7031,Commonwealth Institute  of Funeral Service
6127,Concordia  University Texas
3231,Court Reporting  Institute Dallas
794,Criswell College
6159,Dallas Baptist University
792,Dallas Christian College
7032,Dallas Institute  Funeral Service
6160,Del Mar College
4132,DeVry University  Houston
6187,East Texas Baptist  University
6201,Eastfield College
3604,Education Service Center
6199,El Centro College
6203,El Paso Community  College Texas
6222,Frank Phillips College
6433,Galen College of  Nursing San Antonio
6255,Galveston College
4169,Goshen Biblical Institute  and Theological Seminary
6254,Grayson County College
3166,Hallmark College  of Aeronautics
2307,Hallmark Institute  of Technology
6268,Hardin-Simmons  University
1992,Haven Alternative  Learning Center
6285,Hill College
6282,Houston Baptist  University
929,Houston Community  College
6277,Howard College
6278,Howard Payne University
6280,Huston-Tillotson College
6353,Institute of Health  Education Baptist  Memorial Hospital
4375,International American  University College  of Medicine
6317,Jacksonville College
6319,Jarvis Christian College
6341,Kilgore College
3896,The King’s University
4239,Lamar Institute  of Technology
1694,Lamar State  College Orange
6589,Lamar State College  Pt Arthur
8037,Lamar University  Institute Tech  Participating Stud Serv
6360,Lamar University  Beaumont
6362,Laredo Community  College
6363,Lee College Texas
6365,Letourneau University
3059,Lincoln College of  Technology Texas
6508,Lone Star College
9537,Lone Star College  System North Harris
5413,Lone Star College  Tomball
6378,Lubbock Christian  University
6429,McLennan Community  College
6402,McMurry University
4929,Messenger College
5957,Mexican American  Catholic College
6459,Midland College
6408,Midwestern State  University
6438,Mountain View College
6465,Navarro College
9355,Navy Recruiting  District Houston
9353,Navy Recruiting  District Dallas
6558,North American  University
6245,North Central  Texas College
4147,North Harris College  Education Talent
6519,North Lake College
6531,Northeast Texas  Community College
6517,Northwest Vista College
6499,Northwood  University Texas
6550,Our Lady of the  Lake University
3730,Palo Alto College
6572,Panola College
6573,Paris Junior College
6577,Paul Quinn College
6580,Prairie View Agricultural  Mechanical University
6608,Ranger College
3232,Remington College Dallas
3151,Remington College  Fort Worth
6609,Rice University
6607,Richland College
6637,Saint Mary’s University
6642,Saint Philips College
6643,Sam Houston State  University
6645,San Antonio College
6694,San Jacinto College
6729,San Jacinto College Nor
6693,San Jacinto College Sou
6647,Schreiner University
6695,South Plains College
6654,South Texas College
6719,South University Austin
6660,Southern Methodist  University
7260,Southwest School of Art
6666,Southwest Texas  Junior College
6671,Southwestern  Adventist University
6669,Southwestern  Assemblies of  God University
4546,Southwestern Baptist  Theological Seminary
6705,Southwestern  Christian College
6674,Southwestern Universit
6619,St. Edward’s University
6682,Stephen F. Austin  State University
6685,Sul Ross State Universit
6817,Tarleton State Universit
6837,Tarrant County  College NE Campus
6126,Tarrant County  College NW Campus
6834,Tarrant County College  South Campus
6818,Temple College
6819,Texarkana College
359,Texas A&M Internation  University
6756,Texas A&M University  Central Texas
6003,Texas A&M University  College Station
6188,Texas A&M University  Commerce
366,Texas A&M University  Corpus Christi
6835,Texas A&M University  Galveston
6822,Texas A&M University  Kingsville
6509,Texas A&M University  Rangel College  of Pharmacy
5996,Texas A&M University  San Antonio
6206,Texas A&M University  Texarkana
6820,Texas Christian  University
6821,Texas College
4188,Texas Culinary Academ
6823,Texas Lutheran  University
6824,Texas Southern  University
6843,Texas State Tech  College Harlingen
6328,Texas State Technical  College Waco
3137,Texas State Technical  College West Texas
6667,Texas State University
3423,Texas Tech University  Health Sciences  School of Nursing
6827,Texas Tech University
6828,Texas Wesleyan  University
6826,Texas Woman’s  University
3602,Trinity Baptist  Bible College
6831,Trinity University
6271,Trinity Valley  Community College
6833,Tyler Junior College
6686,University of Texas  Southwestern  Medical Center
6900,United States Air Force  Health Care Science
2503,Universal Technical  Institute
6868,University of Dallas
6916,University of Houston  Clear Lake
6922,University of Houston  Downtown Campus
6870,University of Houston  Main Campus
6917,University of  Houston Victoria
6396,University of Mary  Hardin Baylor
6481,University of North Texas
5999,University of North  Texas Dallas
6880,University of  Saint Thomas
6013,University of Texas  Arlington
6897,University of  Texas at Dallas
6850,University of  Texas at Tyler
6882,University of  Texas Austin
6829,University of  Texas El Paso
6906,University of Texas  Health Science  Center Houston
6908,University of Texas  Health Science Center  San Antonio
6887,University of Texas  Medical Branch
6570,University of Texas  Pan American
448,University of Texas  Permian Basin
6568,University of Texas  Rio Grande Valley
6919,University of Texas  San Antonio
273,University of Texas  Southwestern  Medical Center
6303,University of the  Incarnate Word
8039,University of Texas  Arlington Educational  Opportunity Center
1577,University of Texas  Galveston School Nursing
1758,University of Texas Pan  American Edinburg
6913,Vernon College
6915,Victoria College
7085,Vista College Longview
1537,Wade College
6930,Wayland Baptist  University
6931,Weatherford College
7979,West Coast University  Dallas Campus
6938,West Texas A&M  University
2941,Western Technical  College
6951,Western Texas College
6939,Wharton County  Junior College
6940,Wiley College Utah
7428,Ameritech College
6238,Argosy University  Salt Lake City
4019,Brigham Young  University
4283,Dixie State University
5341,Everest College
6462,George Wythe University
4412,Latter Day Saints Business College
4516,Neumont University
3021,Provo College
4864,Salt Lake Community College
4727,Snow College
4092,Southern Utah University
4751,Stevens-Henager College
4853,University of Utah
2892,Utah Career College
4857,Utah State University
4040,Utah State University Eastern
4870,Utah Valley University
4941,Weber State University
3949,Western Governors University
4948,Westminster College Salt Lake City Vermont
3080,Bennington College
3765,Castleton University
3291,Champlain College
3297,College of St. Joseph
3286,Community College of Vermont
3416,Goddard College
3418,Green Mountain College
3766,Johnson State College
81,Landmark College
3767,Lyndon State College
3509,Marlboro College
3526,Middlebury College
3405,New England Culinary Institute
3100,New England Culinary Institute Essex
7999,Northeastern Baptist College
3669,Norwich University
3757,Saint Michaels College
3796,Southern Vermont College
3752,Sterling College Vermont
3920,University of Vermont
4142,Vermont Agency of Education
4208,Vermont College of Fine Arts
3941,Vermont Technical College Virginia
9081,Ad Fontes Academy
3955,American Military University
6e3,American Public University System
5011,Apprentice School
6231,Art Institute of Virginia Beach
3836,Art Institute of Washington
6620,Art Institute of Washington Northern Virginia
5430,Astar Education Institute
5017,Averett University
7013,Bethel College
5083,Blue Ridge Community College
5063,Bluefield College
5576,Bon Secours Memorial College of Nursing
5069,Bridgewater College
4761,Bryant & Stratton College Virginia Beach
4762,Bryant and Stratton College Richmond
5141,Central Virginia Community College
6522,Chamberlain College of Nursing
5691,Christendom College
5128,Christopher Newport  University
4492,College of Saint George
5115,College of William  and Mary
7882,Columbia College
5139,Dabney S Lancaster  Community College
1288,Dalby Tutoring Inc.
5163,Danville Community  College
5448,Danville Regional  Medical Center School  of Health Professions
3813,DeVry University  Arlington
5181,Eastern Mennonite  University
5844,Eastern Shore  Community College
7140,ECPI College of Tech
3147,ECPI Technical  College Roanoke
3145,ECPI University
5185,Emory & Henry College
5213,Ferrum College
5686,Gateway Christian  College
5827,George Mason University
5276,Germanna Community  College
5291,Hampden-Sydney College
5292,Hampton University
5294,Hollins University
5676,J. Sargeant Reynolds  Community College
5340,J. Sargeant Reynolds  Community  College Parham
5392,James Madison University
5099,Jefferson College of  Health Sciences
5342,John Tyler Community  College
5385,Liberty University
5368,Longwood University
5381,Lord Fairfax  Community College
4925,Loudoun Campus  Strayer University
5372,Lynchburg College
5379,Lynchburg General  Hospital School  of Nursing
3844,Marine Security Guard  Battalion Headquarters
5397,Mary Baldwin University
5405,Marymount University
5451,Mountain Empire  Community College
3249,National College Danville
3173,National College  Harrisonburg
3171,National College  Martinsville
5502,National College  Roanoke Valley
3248,National College of  Business and Technology  Charlottesville
3172,National College  of Business and  Technology Lynchburg
7489,Navy Recruiting  District Richmond
5513,New River Community  College
5864,Norfolk State University
4365,Northern Virginia  Community College
5510,Northern Virginia  Community College  Alexandria
5515,Northern Virginia  Community College  Annandale
5774,Northern Virginia  Community College  Manassas
5775,Northern Virginia  Community College  Sterling
5517,Northern Virginia  Community College  Woodbridge
1794,NSPE Headquarters
5126,Old Dominion University
8011,Old Dominion University  Job Corps Center
2804,Patrick Henry College
5549,Patrick Henry  Community College
5557,Paul D. Camp  Community College
5561,Piedmont Virginia  Community College
5565,Radford University
5567,Randolph College
5566,Randolph-Macon College
5590,Rappahannock  Community  College Glenns
4452,Regent University
5574,Richard Bland College
5580,Riverside College  of Health
5571,Roanoke College
5581,Roanoke Memorial  Hospital
5586,Sentara Rockingham  Memorial Hospital
5504,Sentara School of  Health Professions
5613,Shenandoah University
6989,South University  Richmond Campus
7204,South University  Virginia Beach
5625,Southern Virginia  University
5547,Southside Regional  Medical Center  School of Nursing
5660,Southside Virginia  Community  College Alberta
5669,Southside Virginia  Community College
5659,Southwest Virginia  Community College  Keysville
3778,Stratford University
5634,Sweet Briar College
5793,Thomas Nelson  Community College
5226,Tidewater Community  College
4765,Troy University Arlington
4770,Troy University Fort Myer
4767,Troy University Norfolk
5398,University of Mary  Washington
5569,University of Richmond
5820,University of Virginia
5124,University of  Virginia at Wise
4230,Virginia Baptist College
5570,Virginia Commonwealth  University
2060,Virginia Commonwealth  University School  of Medicine
5927,Virginia Highlands  Community College
4592,Virginia International  University
5858,Virginia Military Institute
5859,Virginia Polytech  Institute State University
5860,Virginia State University
4222,Virginia Tech Center  for Teacher Education
5862,Virginia Union University
5867,Virginia Wesleyan College
5868,Virginia Western Community College
5887,Washington and Lee University
3970,World College
5917,Wytheville Community College Washington
3070,Antioch University Seattle
4805,Art Institute of Seattle
3653,Ashesi University Foundation
181,Bastyr University
4152,Bates Technical College
4029,Bellevue Community College
3499,Bellingham Technical College
4024,Big Bend Community College
2859,Cascadia College
4442,Cathy McMorris
4044,Central Washington University
4045,Centralia College
4042,City University of Seattl
4055,Clark College Washington
3971,Clover Park Technical College
4077,Columbia Basin College
58,Cornish College of the Arts
3129,Crown College
3696,DeVry University Federal Way Campus
4138,DigiPen Institute of Technology
4242,Dominion College
4301,Eastern Washington University
4307,Edmonds Community College
4303,Everett Community College
4292,Evergreen State Colleg
4330,Gonzaga University
4332,Grays Harbor College
4337,Green River Community College
4344,Heritage University
4348,Highline Community College
4124,Interface College
1453,Lake Washington Technical College
4402,Lower Columbia Colleg
4774,Mars Hill Graduate School
9347,Navy Recruiting District Northgate
4554,North Seattle Community College
3115,Northwest Aviation College
2432,Northwest College of A
3973,Northwest Indian Colle
3116,Northwest School of Wooden Boatbuilding
4541,Northwest University
4583,Olympic College
4597,Pacific Lutheran University
4615,Peninsula College
4103,Pierce College
790,Renton Technical Colle
4674,Saint Martin’s Universit
4033,Seattle Central College
4694,Seattle Pacific Universit
4695,Seattle University
4738,Shoreline Community College
4699,Skagit Valley College
4578,South Puget Sound Community College
4759,South Seattle Community College
4752,Spokane Falls Community College
4826,Tacoma Community College
4408,Trinity Lutheran College
2786,United States Marine Corps Officer Selection Team
4067,University of Puget Sound
4854,University of Washington
4467,University of Washington Bothell
5981,University of Washington School of Pharmacy
4445,University of Washington Tacoma
6533,USMC Officer Selection Team Spokane
4963,Walla Walla Community College
4940,Walla Walla University
4705,Washington State University
4947,Western Washington University
1275,Whatcom Community College
4951,Whitman College
4953,Whitworth University West Virginia
5005,Alderson-Broaddus College
7305,Appalachian Bible College
5060,Bethany College
4892,Blue Ridge Community and Technical College
5064,Bluefield State College
5786,BridgeValley Community and Technical College
5120,Concord University
1579,Corinthian Schools National Institute of Technology
5151,Davis and Elkins College
3837,Eastern West Virginia Community Technical College
5211,Fairmont State University
5254,Glenville State College
7310,Huntington Junior College
5396,Marshall University
2389,Mountain State College
5438,Mountwest Community and Technical College
5943,New River Community Technical College
5519,Ohio Valley University
7688,Old Paths Baptist College
6455,Pierpont Community & Technical College
5539,Potomac State College
5608,Salem International University
5615,Shepherd University
770,Southern West Virginia Community College
5281,Truth & Liberty Bible College
5419,University of Charleston
3176,Valley College of Technology
5901,West Liberty University
2546,West Virginia Business College
3180,West Virginia Junior College Charleston
3179,West Virginia Junior College Morgantown
674,West Virginia Northern Community College
5903,West Virginia State University
5932,West Virginia University at Parkersburg
3863,West Virginia University Hospitals Radiologic Tech
5902,West Virginia University Institute of Technology
5904,West Virginia University Morgantown
5905,West Virginia Wesleyan College
5906,Wheeling Jesuit University Wisconsin
1012,Alverno College
1046,Bellin College of Nursing
1059,Beloit College
7319,Blackhawk Technical College
3617,Bryant & Stratton College
7075,Bryant and Stratton College Bayshore Campus
7074,Bryant and Stratton College Wauwatosa Campus
1100,Cardinal Stritch University
1101,Carroll University
1103,Carthage College
786,Chippewa Valley Technical College
3974,College of Menominee Nation
1139,Concordia University Wisconsin
1202,Edgewood College
747,Fox Valley Tech College
1255,Gateway Technical College Racine
388,Herzing University
7351,Lac Courte Oreilles Ojibwa Community College
1393,Lakeland University
618,Lakeshore Technical College
1398,Lawrence University
1536,Madison Area Technical College
2732,Maranatha Baptist University
1443,Marian University
1448,Marquette University
1911,Medical College of Wisconsin
635,Mid-State Technical College
1475,Milwaukee Area Technical College
1506,Milwaukee Institute of Art and Design
1476,Milwaukee School of Engineering
667,Moraine Park Technical College
1490,Mount Mary University
9362,Navy Recruiting District Milwaukee
713,Nicolet Area Technical College
735,Northcentral Technical College
4190,Northeast Wisconsin Technical College
1561,Northland College
1787,Northland International University
1664,Ripon College
1706,Saint Norbert College
5702,Sanford-Brown College
1300,Silver Lake College
900,Southwest Wisconsin Technical College
1996,University of Wisconsin Baraboo/Sauk County
1772,University of Wisconsin Barron County
7654,University of Wisconsin Colleges Online
1913,University of Wisconsin Eau Claire
1942,University of Wisconsin Fond du Lac
1889,University of Wisconsin Fox Valley
1859,University of Wisconsin Green Bay
1914,University of Wisconsin La Crosse
1846,University of Wisconsin Madison
1890,University of Wisconsin Manitowoc
1891,University of Wisconsin Marinette
1997,University of Wisconsin Marshfield
1473,University of Wisconsin Milwaukee
1916,University of Wisconsin Oshkosh
1860,University of Wisconsin Parkside
1917,University of Wisconsin Platteville
1918,University of Wisconsin River Falls
1998,University of Wisconsin Rock County
1994,University of Wisconsin Sheboygan
1919,University of Wisconsin Stevens Point
1740,University of Wisconsin Stout Menomonie
1920,University of Wisconsin Superior
1993,University of Wisconsin Washington County
1999,University of Wisconsin Waukesha
1995,University of Wisconsin Wausau
1921,University of Wisconsin Whitewater
4495,University Wisconsin Colleges
1662,University Wisconsin Richland Center
1878,Viterbo University
724,Waukesha County Technical College
1087,Western Technical College
1580,Wisconsin Indianhead Technical College
1513,Wisconsin Lutheran College
507,Wisconsin Military Academy Wyoming
4043,Casper College
4115,Central Wyoming College
4700,Eastern Wyoming College
360,Laramie County Community College
4542,Northwest College
4536,Sheridan College
4855,University Wyoming
4957,Western Wyoming Community College
4748,Wyoming Catholic College
7141,Wyoming Technical Institute
20,Community College American Samoa Armed Forces Africa
7213,University Maryland European Division Federated States of Micronesia
115,College of Micronesia Guam
2302,Guam Community College
