number,school
4842,University of Denver
4074,University of  Northern Colorado
4946,Western State Colorado University
3948,Westwood College
2230,Westwood College of Aviation Technology
7962,William Loveland College
7008,Yeshiva Toras Chaim Talmudical Seminary Connecticut
3001,Albertus Magnus College
3656,Asnuntuck Community College
3359,Beth Benjamin Academy
3121,Briarwood College
3104,Bridgeport Hospital School of Nursing
3421,Capital Community College
3898,Central Connecticut State University
870,Charter Oak State College
1883,Choate Rosemary Hall
3284,Connecticut College
3966,Eastern Connecticut State University
3390,Fairfield University
3425,Gateway Community College
5879,Goodwin College
921,Holy Apostles College and Seminary
3967,Hotchkiss School
3446,Housatonic Community- Technical College
7407,Legion of Christ College of Humanities
481,Lincoln College of New England
3968,Loomis Chaffee School
1791,Lyme Academy College of Fine Arts
3544,Manchester Community College
3551,Middlesex Community College
3528,Mitchell College
3550,Naugatuck Valley Community College
1653,New England Baptist College
3652,Northwestern Connecticut Community College
3677,Norwalk Community College
3699,Paier College of Art
3698,Post University
3716,Quinebaug Valley Community College
3712,Quinnipiac University
3780,Sacred Heart University
3750,Saint Basils College
3758,Saint Thomas Seminary of Hartford
3789,Saint Vincent’s College
3662,Southern Connecticut State University
3558,Three Rivers Community College
3899,Trinity College Connecticut
3897,Tunxis Community College
5807,United States Coast Guard Academy
3914,University of Bridgeport
3915,University of Connecticut
3436,University of Hartford
3663,University of New Haven
3754,University of Saint Joseph
3959,Wesleyan University
3350,Western Connecticut State University
5779,Yale School of Management Pre-MBA Leadership Program
3987,Yale University Delaware
5161,Delaware College of Art and Design
5153,Delaware State University
5169,Delaware Tech Community College Owens Campus
5201,Delaware Technical Community College Dover
5204,Delaware Technical Community College Newark
5154,Delaware Technical Community College Wilmington
5255,Goldey-Beacom College
5811,University of Delaware
7347,USMC Officer Selection Station
5894,Wesley College Delaware
5925,Wilmington University District of Columbia
5007,"American University Washington, DC"
5104,Catholic University of America
5240,Gallaudet University
9404,Geophysical Laboratory Carnegie Institute
5246,George Washington University
5075,George Washington University MD Program
5244,Georgetown University
8137,Georgetown University MICP
5297,Howard University
7275,Johns Hopkins University Advanced Academic Programs
4898,Society for Science & the Public
5632,Strayer University
5796,Trinity Washington University
5929,University of the District of Columbia
3569,"University of the Potomac Washington, DC"
2604,"University of the Potomac Herndon, VA Florida"
6257,Academy Prep Foundation
4669,American College of Applied Science
5964,American University of the Caribbean
5040,Art Institute of Fort Lauderdale
5374,Art Institute of Jacksonville
6314,Art Institute of Tampa
4249,Ave Maria University
6747,Aviator College Aeronautical Science and Technology
5209,Baptist College of Florida
5053,Barry University
3611,Beacon College
5061,Bethune-Cookman University
5074,Broward College
5735,Broward College North Campus
2102,Carlos Albizu University
5968,Chamberlain College of Nursing
7752,Chamberlain College  of Nursing Miramar
5106,Chipola College
4436,Christian Institute
3578,City College Fort  Lauderdale
3579,City College Gainesville
3580,City College Miami
5127,College of Central Florida
5159,Daytona State College
2881,DeVry University  Keller Grad School  of Management
4134,DeVry University  Miramar
5295,Digital Media  Arts College
5073,Eastern Florida  State College
5223,Eckerd College
5182,Edward Waters College
5190,Embry-Riddle  Aeronautical  University Florida
5036,Embry-Riddle  Aeronautical University  Worldwide Campus
3801,Everest University
3585,Everest University  Brandon
1940,Everest University  Lakeland
2154,Everest University Largo
428,Everest University Tampa
3586,Everest University  Melbourne
742,Everest University  North Orlando
3587,Everest University  South Orlando
3191,Everglades University
4877,Everglades University  Sarasota Campus
7399,Everglades University  Orlando Campus
6737,Everglades  University Tampa
5235,Flagler College
5215,Florida Agricultural  Mechanical University
5229,Florida Atlantic  University
4435,Florida Baptist College
7781,Florida Bible College
3581,Florida Career College
5216,Florida College
5231,Florida College of  Natural Health Miami
5239,Florida College of  Natural Health Oviedo
5238,Florida College of Natural  Health Pompano Beach
5377,Florida Gateway College
5221,Florida Gulf Coast  University
3614,Florida Hospital College  of Health Sciences
5080,Florida Institute  of Technology
5206,Florida International  University
5236,Florida Keys  Community College
5217,Florida Memorial  University
2057,Florida National College
7303,Florida Polytechnic  University
5218,Florida Southern College
5191,Florida Southwestern  State College
5232,Florida State College  at Jacksonville
5219,Florida State University
3432,Florida Technical  College Lakeland
3589,Florida Technical  College Orange City
3588,Florida Technical  College Orlando
3164,Full Sail University
5678,Galen College of Nursin
5271,Gulf Coast State Colleg
3438,Herzing University  Orlando
5304,Hillsborough  Community College
5306,Hobe Sound Bible Colle
5307,Hodges University
5322,Indian River State Colle
5331,Jacksonville University
3441,Johnson and Wales  University Florida
2167,Johnson University  Florida
5343,Jones College
5351,Keiser University  Daytona Beach Campus
